name,years_experience,skills,education,graduation_year,graduation_percentage,tenth_percentage,twelfth_percentage,tenth_school,twelfth_school,tenth_passing_out_year,twelfth_passing_out_year,extracurricular_activities,companies_worked,interpersonal_skills,Criteria_Label
Ishita,12,"Use Case Analysis, Data Visualization, Financial Modeling, Market Research, Microsoft Excel, Gap Analysis, Business Intelligence, Stakeholder Management",BBA in Business Administration at IIM Bangalore,2019,87.48,70.5,84.59,understand School,politics Higher Secondary School,2015,2016,"Debate Club, Music Club, Art Club, Science Club","Microsoft, Bain & Company, Ernst & Young","Negotiation, Leadership, Problem-solving, Creativity, Empathy",1
Aisha,7,"Data Visualization, Financial Modeling, Microsoft Excel, SWOT Analysis, Use Case Analysis, Data Analysis, Tableau, User Acceptance Testing (UAT)",MBA in Business Administration at IIT Roorkee,2009,80.38,78.57,80.18,must School,probably Higher Secondary School,2006,2008,"Language Club, Student Government, Volunteering, Sports",Amazon,"Conflict Resolution, Persuasion, Teamwork, Creativity",1
Aryan,9,"Microsoft Excel, Stakeholder Management, Financial Modeling, Project Management, Power BI, Gap Analysis, SQL, Data Visualization",BBA in Business Administration at IIT Madras,2012,62.02,79.74,93.1,card School,teacher Higher Secondary School,2009,2008,,"Amazon, Goldman Sachs, Microsoft","Conflict Resolution, Communication",0
Aisha,3,"Microsoft Excel, Tableau, SWOT Analysis, Stakeholder Management, SQL, Project Management, Risk Analysis, Data Analysis",MBA in Business Administration at Anna University,2015,72.86,75.64,66.25,same School,green Higher Secondary School,2010,2012,"Language Club, Student Government","Accenture, PwC, Ernst & Young","Empathy, Communication, Active Listening, Adaptability",0
Ishita,15,"Tableau, Data Visualization, Project Management, Microsoft Excel, Market Research, Risk Analysis, Gap Analysis, Process Improvement",BBA in Business Administration at IIM Calcutta,2000,73.03,63.92,83.92,seem School,price Higher Secondary School,1996,1996,"Sports, Music Club","McKinsey & Company, Apple","Negotiation, Conflict Resolution, Time Management, Empathy",0
Aryan,6,"Requirements Gathering, Power BI, Process Improvement, Data Analysis, SQL, Data Visualization, Business Intelligence, SWOT Analysis",BBA in Business Administration at Anna University,2020,88.13,62.98,78.45,build School,above Higher Secondary School,2017,2016,,"Microsoft, Facebook, Google","Communication, Creativity, Problem-solving, Adaptability, Conflict Resolution",0
Kiran,10,"Use Case Analysis, SQL, Risk Analysis, User Acceptance Testing (UAT), Gap Analysis, Microsoft Excel, Financial Modeling, Process Improvement",B.Com in Business Administration at IIFT Delhi,2017,81.29,88.97,93.12,toward School,add Higher Secondary School,2014,2014,,KPMG,"Persuasion, Problem-solving, Adaptability",1
Yash,9,"Stakeholder Management, SWOT Analysis, Financial Modeling, Requirements Gathering, SQL, Data Analysis, Tableau, Gap Analysis",B.Com in Business Administration at IIM Bangalore,2017,65.78,69.85,69.14,tough School,trouble Higher Secondary School,2013,2016,,"TCS, Facebook, Infosys","Leadership, Communication, Creativity",0
Kiran,11,"Business Intelligence, Project Management, Risk Analysis, Requirements Gathering, SQL, Stakeholder Management, SWOT Analysis, Financial Modeling",PGDM in Business Administration at NIT Trichy,2001,94.89,75.96,81.4,audience School,hotel Higher Secondary School,1999,1999,,Infosys,"Time Management, Conflict Resolution, Creativity",1
Kiran,2,"Process Improvement, Data Visualization, Use Case Analysis, Gap Analysis, Requirements Gathering, Microsoft Excel, Risk Analysis, SQL",B.Com in Business Administration at IIM Ahmedabad,2010,70.64,71.82,66.95,outside School,series Higher Secondary School,2005,2006,Community Service,McKinsey & Company,"Empathy, Conflict Resolution",0
Mira,14,"Process Improvement, Use Case Analysis, Stakeholder Management, Financial Modeling, Project Management, SWOT Analysis, Power BI, Microsoft Excel",MBA in Business Administration at Anna University,2006,88.61,92.53,83.6,field School,often Higher Secondary School,2003,2003,"Language Club, Community Service",KPMG,"Teamwork, Problem-solving, Conflict Resolution, Communication",1
Sanya,12,"Data Analysis, SWOT Analysis, Power BI, Gap Analysis, Requirements Gathering, Agile Methodology, Use Case Analysis, Tableau",PGDM in Business Administration at IISc Bangalore,2017,92.27,75.11,64.9,travel School,red Higher Secondary School,2013,2015,Drama Club,"Accenture, KPMG, Amazon","Decision Making, Creativity, Teamwork, Time Management, Conflict Resolution",0
Aarav,9,"Market Research, SWOT Analysis, Agile Methodology, Process Improvement, Business Intelligence, SQL, Data Visualization, Stakeholder Management",BBA in Business Administration at IIT Bombay,2005,74.15,70.67,84.09,morning School,whom Higher Secondary School,2003,2003,"Coding Club, Art Club",TCS,"Empathy, Problem-solving, Teamwork",1
Mira,11,"SQL, Data Analysis, Process Improvement, Power BI, Microsoft Excel, Project Management, Data Visualization, Requirements Gathering",B.Com in Business Administration at IIM Ahmedabad,2016,85.4,90.7,68.87,fact School,senior Higher Secondary School,2011,2013,"Chess Club, Music Club","Accenture, KPMG","Time Management, Active Listening",0
Ishika,5,"SQL, Tableau, User Acceptance Testing (UAT), Financial Modeling, Risk Analysis, Project Management, Requirements Gathering, Data Visualization",B.Com in Business Administration at IIT Madras,2013,89.64,60.03,91.32,surface School,against Higher Secondary School,2010,2009,"Language Club, Drama Club, Volunteering, Robotics Club","IBM, McKinsey & Company, Google","Communication, Negotiation, Leadership, Adaptability, Empathy",0
Diya,14,"Power BI, User Acceptance Testing (UAT), Data Visualization, Data Analysis, Process Improvement, Microsoft Excel, Requirements Gathering, Tableau",MBA in Business Administration at BITS Pilani,2008,81.2,64.75,92.06,simply School,phone Higher Secondary School,2003,2007,"Science Club, Robotics Club, Sports",Ernst & Young,"Persuasion, Empathy, Active Listening, Conflict Resolution",0
Kiran,0,"Tableau, User Acceptance Testing (UAT), Business Intelligence, Requirements Gathering, SQL, SWOT Analysis, Microsoft Excel, Market Research",PGDM in Business Administration at IIT Kanpur,2013,67.83,87.58,90.75,care School,reality Higher Secondary School,2009,2011,"Music Club, Volunteering, Coding Club, Debate Club, Drama Club","Deloitte, Apple","Creativity, Persuasion, Decision Making",0
Aditi,14,"Use Case Analysis, Gap Analysis, User Acceptance Testing (UAT), Microsoft Excel, Process Improvement, SQL, Market Research, Data Analysis",PGDM in Business Administration at Jawaharlal Nehru University,2019,75.48,69.45,86.98,four School,both Higher Secondary School,2017,2015,,"McKinsey & Company, Facebook","Empathy, Time Management, Decision Making, Conflict Resolution, Teamwork",0
