name,years_experience,skills,education,graduation_year,graduation_percentage,tenth_percentage,twelfth_percentage,tenth_school,twelfth_school,tenth_passing_out_year,twelfth_passing_out_year,Criteria_Label
Rohan,1,"Data Mining, SQL, PyTorch, Apache Spark, Deep Learning, Machine Learning, SciPy, Data Visualization",B.Tech in Statistics at IIM Ahmedabad,2004,70.45,92.73,76.42,international School,gun Higher Secondary School,2000,2002,0
Pranav,10,"SciPy, SQL, Power BI, Python, Hadoop, Deep Learning, TensorFlow, Scikit-learn",B.Sc in Statistics at IIM Calcutta,2017,74.69,69.0,68.31,cultural School,little Higher Secondary School,2014,2016,0
Vikram,14,"Pandas, SQL, Time Series Analysis, Deep Learning, Machine Learning, Power BI, Statistical Analysis, SciPy",B.E in Statistics at IIT Roorkee,2009,84.83,83.79,92.26,sense School,social Higher Secondary School,2007,2006,1
Neha,15,"R, PyTorch, Hadoop, Power BI, Data Visualization, Data Mining, Statistical Analysis, SQL",B.Sc in Statistics at IIM Ahmedabad,2010,69.2,79.63,84.94,individual School,at Higher Secondary School,2006,2007,0
Rahul,11,"Big Data, Data Mining, Pandas, Deep Learning, PyTorch, R, Scikit-learn, SQL",M.Sc in Statistics at IIM Calcutta,2003,91.99,66.23,66.35,move School,change Higher Secondary School,2001,1999,0
Aryan,6,"Apache Spark, Scikit-learn, Data Visualization, R, Big Data, PyTorch, Data Mining, Matplotlib",M.E in Statistics at Delhi University,2010,78.38,83.13,87.4,middle School,head Higher Secondary School,2005,2008,1
Ravi,12,"Python, Pandas, Statistical Analysis, Predictive Modeling, Data Mining, SciPy, Deep Learning, Apache Spark",B.E in Statistics at IIT Madras,2005,81.91,85.18,72.82,first School,manager Higher Secondary School,2003,2004,1
Ishika,2,"Deep Learning, Data Mining, Keras, Python, Machine Learning, SQL, Pandas, TensorFlow",B.Sc in Statistics at IIM Ahmedabad,2008,61.24,83.83,92.74,receive School,shoulder Higher Secondary School,2006,2006,0
Aryan,8,"SciPy, Scikit-learn, Statistical Analysis, R, Tableau, Power BI, Data Mining, NumPy",M.Tech in Statistics at IIT Bombay,2016,92.73,78.3,81.0,couple School,vote Higher Secondary School,2014,2012,1
Aditi,11,"Hadoop, Statistical Analysis, Matplotlib, Pandas, Big Data, Power BI, Data Visualization, Natural Language Processing (NLP)",M.Sc in Statistics at BITS Pilani,2017,60.89,71.78,94.9,similar School,because Higher Secondary School,2012,2016,0
Varun,8,"Machine Learning, SQL, Data Visualization, Power BI, Apache Spark, Matplotlib, NumPy, Pandas",B.Sc in Statistics at IIT Roorkee,2013,70.13,62.76,76.5,environment School,let Higher Secondary School,2009,2009,0
Sanya,4,"Matplotlib, Hadoop, Statistical Analysis, Natural Language Processing (NLP), Deep Learning, SciPy, Scikit-learn, SQL",B.Sc in Statistics at BITS Pilani,2002,86.89,66.89,71.23,medical School,technology Higher Secondary School,1999,1999,0
Neha,4,"Time Series Analysis, Python, Big Data, Hadoop, Predictive Modeling, Keras, SQL, PyTorch",M.Sc in Statistics at IIT Bombay,2012,60.38,81.51,87.89,heart School,eight Higher Secondary School,2009,2010,0
Aryan,10,"Tableau, Pandas, TensorFlow, PyTorch, Power BI, Time Series Analysis, NumPy, Machine Learning",B.Tech in Statistics at IIT Roorkee,2020,60.77,81.68,81.7,place School,take Higher Secondary School,2015,2016,0
Varun,11,"Time Series Analysis, Pandas, Hadoop, PyTorch, NumPy, Predictive Modeling, Machine Learning, SQL",M.E in Statistics at NIT Warangal,2020,76.02,73.11,72.95,care School,box Higher Secondary School,2016,2016,1
Pranav,9,"Tableau, Big Data, Python, Matplotlib, Keras, Deep Learning, R, Time Series Analysis",M.Tech in Statistics at IIT Kanpur,2002,90.06,64.95,68.97,early School,produce Higher Secondary School,1997,2000,0
Ishita,15,"SQL, Natural Language Processing (NLP), SciPy, Big Data, Apache Spark, Data Mining, PyTorch, Predictive Modeling",M.E in Statistics at IIFT Delhi,2020,69.93,68.03,74.17,response School,well Higher Secondary School,2015,2019,0
Mira,10,"Machine Learning, Natural Language Processing (NLP), Predictive Modeling, Hadoop, Tableau, Deep Learning, PyTorch, R",B.E in Statistics at IIT Madras,2020,61.12,92.69,65.38,father School,election Higher Secondary School,2016,2017,0
Varun,15,"Natural Language Processing (NLP), R, Python, SciPy, Statistical Analysis, NumPy, Tableau, Predictive Modeling",M.Tech in Statistics at IIT Delhi,2013,80.93,88.29,76.33,growth School,thought Higher Secondary School,2011,2010,1
Aditi,12,"Time Series Analysis, Statistical Analysis, Apache Spark, Hadoop, Scikit-learn, Tableau, SQL, Natural Language Processing (NLP)",M.Tech in Statistics at Anna University,2002,81.89,93.62,68.3,month School,social Higher Secondary School,1998,2001,0
Neha,6,"Predictive Modeling, Machine Learning, Hadoop, Apache Spark, NumPy, Keras, Scikit-learn, Power BI",B.Sc in Statistics at BITS Pilani,2021,74.26,70.09,72.36,relationship School,know Higher Secondary School,2017,2017,1
