name,years_experience,skills,education,graduation_year,graduation_percentage,tenth_percentage,twelfth_percentage,tenth_school,twelfth_school,tenth_passing_out_year,twelfth_passing_out_year,Criteria_Label
Arjun,3,"Bootstrap, LESS, GitLab, Django, GraphQL, GitHub, Webpack, Responsive Web Design",B.Tech in Computer Science at BITS Pilani,2015,81.82,88.95,94.95,so School,wear Higher Secondary School,2013,2013,0
Aisha,15,"GitLab, jQuery, GraphQL, Webpack, React, Angular, Django, GitHub",B.E in Computer Science at IIT Madras,2009,65.1,85.68,81.54,guess School,song Higher Secondary School,2004,2005,0
Mira,10,"SASS, GitHub, Vue.js, Responsive Web Design, GitLab, GraphQL, LESS, Django",M.E in Computer Science at IIM Bangalore,2009,86.19,67.62,90.95,hair School,matter Higher Secondary School,2004,2006,0
Sanya,14,"React, GitLab, Vue.js, Angular, SASS, jQuery, Express.js, LESS",M.E in Computer Science at IIT Roorkee,2015,75.05,65.51,69.53,war School,which Higher Secondary School,2011,2011,0
Yash,5,"LESS, Express.js, GraphQL, SASS, RESTful API, React, Django, JavaScript",B.Tech in Computer Science at Delhi University,2013,71.07,70.5,84.3,concern School,rate Higher Secondary School,2010,2010,1
Sanya,1,"JavaScript, HTML, jQuery, RESTful API, Node.js, CSS, Git, Flask",M.E in Computer Science at IIT Roorkee,2022,87.99,77.75,85.04,edge School,traditional Higher Secondary School,2019,2018,0
Arjun,14,"jQuery, Flask, SASS, Express.js, HTML, Webpack, GitLab, Git",B.Tech in Computer Science at Jawaharlal Nehru University,2004,78.93,60.25,88.92,him School,performance Higher Secondary School,2001,2001,0
Kiran,6,"Webpack, Angular, GitHub, Flask, Django, GraphQL, CSS, jQuery",BCA in Computer Science at NIT Warangal,2020,63.9,71.33,91.25,both School,conference Higher Secondary School,2018,2019,0
Aryan,14,"Responsive Web Design, RESTful API, Angular, GraphQL, jQuery, Node.js, Vue.js, LESS",M.E in Computer Science at IIM Calcutta,2014,94.94,61.33,62.95,center School,pick Higher Secondary School,2009,2011,0
Rahul,7,"GitLab, Webpack, Bootstrap, HTML, Flask, Express.js, RESTful API, CSS",MCA in Computer Science at IIM Lucknow,2013,73.61,68.69,71.6,mind School,act Higher Secondary School,2009,2010,0
Aditi,4,"Bootstrap, HTML, GraphQL, Angular, GitHub, Webpack, Django, Responsive Web Design",MCA in Computer Science at IIT Madras,2015,77.9,82.64,78.0,meet School,put Higher Secondary School,2012,2014,0
Ishika,13,"jQuery, GitHub, SASS, LESS, GraphQL, Node.js, Express.js, Webpack",M.Tech in Computer Science at IIM Lucknow,2018,88.5,66.96,67.21,five School,fact Higher Secondary School,2015,2017,0
Diya,11,"Django, Angular, Node.js, Vue.js, Responsive Web Design, Flask, LESS, Express.js",M.Tech in Computer Science at IIT Bombay,2022,94.74,83.04,79.57,case School,happen Higher Secondary School,2020,2020,1
Neha,8,"Bootstrap, React, Vue.js, HTML, Django, SASS, GitHub, Angular",B.Tech in Computer Science at Anna University,2005,87.42,74.06,68.46,society School,consumer Higher Secondary School,2000,2002,0
